Gene stable ID	Gene % GC content	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name	NCBI gene ID	Transcript length (including UTRs and CDS)	Transcript support level (TSL)
ENSG00000210196	33.82	MT	15956	16023	MT-TP		68	tslNA
ENSG00000253620	38.70	8	64091	64320	AC144568.1		137	tslNA
ENSG00000232475	31.86	Y	22048554	22049347	HSFY5P		309	tslNA
ENSG00000260949	46.98	8	38062881	38063791	AP006545.1		911	tslNA
ENSG00000223968	45.49	3	27624202	27624456	AC098614.2		255	tslNA
ENSG00000258712	43.07	15	21372793	21373881	AC060814.2		1089	tslNA
ENSG00000223475	43.70	7	55573171	55588336	AC099681.1		552	tsl4
ENSG00000226908	62.46	13	21483834	21484174	HIST1H2BPS3		341	tslNA
ENSG00000254040	44.86	8	21023296	21029058	AC103719.1		581	tsl4
ENSG00000184661	39.74	8	25458997	25507920	CDCA2	157313	3731	tsl1
ENSG00000184661	39.74	8	25458997	25507920	CDCA2	157313	464	tsl5
ENSG00000184661	39.74	8	25458997	25507920	CDCA2	157313	3565	tsl1
ENSG00000184661	39.74	8	25458997	25507920	CDCA2	157313	922	tsl5
ENSG00000184661	39.74	8	25458997	25507920	CDCA2	157313	2409	tsl5
ENSG00000197990	34.79	7	63449819	63456687	ZNF734P		1534	tslNA
ENSG00000254266	35.11	8	78426103	78558503	PKIA-AS1	101927003	692	tsl3
ENSG00000254266	35.11	8	78426103	78558503	PKIA-AS1	101927003	2011	tsl1
ENSG00000254266	35.11	8	78426103	78558503	PKIA-AS1	101927003	995	tsl5
ENSG00000237208	34.34	X	126109762	126115562	AL445072.1	101928495	639	tsl1
ENSG00000009954	43.19	7	73440398	73522278	BAZ1B	9031	6102	tsl1
ENSG00000009954	43.19	7	73440398	73522278	BAZ1B	9031	5428	tsl2
ENSG00000009954	43.19	7	73440398	73522278	BAZ1B	9031	827	tsl4
ENSG00000131386	45.64	3	16174649	16231992	GALNT15	117248	4669	tsl1
ENSG00000131386	45.64	3	16174649	16231992	GALNT15	117248	2416	tsl1
ENSG00000131386	45.64	3	16174649	16231992	GALNT15	117248	815	tsl4
ENSG00000131386	45.64	3	16174649	16231992	GALNT15	117248	572	tsl4
ENSG00000131386	45.64	3	16174649	16231992	GALNT15	117248	538	tsl4
ENSG00000131386	45.64	3	16174649	16231992	GALNT15	117248	2775	tsl5
ENSG00000136999	42.27	8	119416306	119424353	NOV	4856	2522	tsl1
ENSG00000136999	42.27	8	119416306	119424353	NOV	4856	544	tsl2
ENSG00000272173	53.60	12	6943508	6944604	U47924.2		1097	tslNA
ENSG00000134291	46.67	12	47963569	47968878	TMEM106C	79022	663	tsl3
ENSG00000134291	46.67	12	47963569	47968878	TMEM106C	79022	1356	tsl1
ENSG00000134291	46.67	12	47963569	47968878	TMEM106C	79022	1394	tsl1
ENSG00000134291	46.67	12	47963569	47968878	TMEM106C	79022	558	tsl4
ENSG00000134291	46.67	12	47963569	47968878	TMEM106C	79022	321	tsl3
ENSG00000134291	46.67	12	47963569	47968878	TMEM106C	79022	590	tsl2
ENSG00000134291	46.67	12	47963569	47968878	TMEM106C	79022	810	tsl1
ENSG00000134291	46.67	12	47963569	47968878	TMEM106C	79022	579	tsl3
ENSG00000134291	46.67	12	47963569	47968878	TMEM106C	79022	742	tsl4
ENSG00000134291	46.67	12	47963569	47968878	TMEM106C	79022	776	tsl1
ENSG00000134291	46.67	12	47963569	47968878	TMEM106C	79022	1515	tsl2
ENSG00000134291	46.67	12	47963569	47968878	TMEM106C	79022	976	tsl3
ENSG00000134291	46.67	12	47963569	47968878	TMEM106C	79022	1414	tsl2
ENSG00000134291	46.67	12	47963569	47968878	TMEM106C	79022	666	tsl3
ENSG00000134291	46.67	12	47963569	47968878	TMEM106C	79022	581	tsl3
ENSG00000134291	46.67	12	47963569	47968878	TMEM106C	79022	660	tsl3
ENSG00000134291	46.67	12	47963569	47968878	TMEM106C	79022	583	tsl3
ENSG00000134291	46.67	12	47963569	47968878	TMEM106C	79022	326	tsl3
ENSG00000134291	46.67	12	47963569	47968878	TMEM106C	79022	707	tsl2
ENSG00000134291	46.67	12	47963569	47968878	TMEM106C	79022	491	tsl3
ENSG00000134291	46.67	12	47963569	47968878	TMEM106C	79022	685	tsl2
ENSG00000134291	46.67	12	47963569	47968878	TMEM106C	79022	587	tsl2
ENSG00000238358	42.18	7	90119299	90122890	AC004969.1		578	tsl5
ENSG00000240990	55.49	7	27184518	27189293	HOXA11-AS	221883	1289	tsl5
ENSG00000240990	55.49	7	27184518	27189293	HOXA11-AS	221883	1723	tsl5
ENSG00000240990	55.49	7	27184518	27189293	HOXA11-AS	221883	1549	tsl1
ENSG00000240990	55.49	7	27184518	27189293	HOXA11-AS	221883	1169	tsl2
ENSG00000240990	55.49	7	27184518	27189293	HOXA11-AS	221883	822	tsl2
ENSG00000258001	43.48	12	57431116	57433935	AC126614.1		548	tsl4
ENSG00000278389	47.33	16	19111035	19111484	AC099518.6		450	tslNA
ENSG00000230441	41.75	CHR_HSCHR6_MHC_SSTO_CTG1	30353022	30354190	UBQLN1P1		1169	tslNA
ENSG00000262953	49.45	17	2586330	2587866	EIF4A1P9		1207	tslNA
ENSG00000254819	37.66	11	26285711	26288007	AC021698.1		716	tsl3
ENSG00000275223	57.95	20	33655701	33656423	AL121906.2		723	tslNA
ENSG00000256892	37.59	10	37601440	37602974	MTRNR2L7	100288485	1535	tslNA
ENSG00000235821	55.48	6	29750729	29751148	IFITM4P		420	tslNA
ENSG00000267201	53.65	19	2458935	2462185	LINC01775	101928602	371	tsl1
ENSG00000251074	33.27	4	68626847	68628899	AC147055.3		851	tslNA
ENSG00000091986	40.28	3	112596794	112649530	CCDC80	151887	12430	tsl1
ENSG00000091986	40.28	3	112596794	112649530	CCDC80	151887	3557	tsl1
ENSG00000091986	40.28	3	112596794	112649530	CCDC80	151887	681	tsl2
ENSG00000091986	40.28	3	112596794	112649530	CCDC80	151887	781	tsl3
ENSG00000091986	40.28	3	112596794	112649530	CCDC80	151887	1010	tsl4
ENSG00000091986	40.28	3	112596794	112649530	CCDC80	151887	626	tsl4
ENSG00000091986	40.28	3	112596794	112649530	CCDC80	151887	560	tsl4
ENSG00000091986	40.28	3	112596794	112649530	CCDC80	151887	684	tsl4
ENSG00000241505	33.39	1	190480379	190494297	AL391645.1		506	tsl3
ENSG00000161904	53.18	6	33771202	33789136	LEMD2	221496	1684	tsl5
ENSG00000161904	53.18	6	33771202	33789136	LEMD2	221496	2958	tsl1
ENSG00000161904	53.18	6	33771202	33789136	LEMD2	221496	4870	tsl2
ENSG00000161904	53.18	6	33771202	33789136	LEMD2	221496	2323	tsl3
ENSG00000161904	53.18	6	33771202	33789136	LEMD2	221496	1306	tsl2
ENSG00000161904	53.18	6	33771202	33789136	LEMD2	221496	563	tsl1
ENSG00000161904	53.18	6	33771202	33789136	LEMD2	221496	643	tsl3
ENSG00000161904	53.18	6	33771202	33789136	LEMD2	221496	583	tsl4
ENSG00000161904	53.18	6	33771202	33789136	LEMD2	221496	821	tsl4
ENSG00000161904	53.18	6	33771202	33789136	LEMD2	221496	839	tsl5
ENSG00000161904	53.18	6	33771202	33789136	LEMD2	221496	544	tsl4
ENSG00000161904	53.18	6	33771202	33789136	LEMD2	221496	555	tsl4
ENSG00000161904	53.18	6	33771202	33789136	LEMD2	221496	544	tsl3
ENSG00000161904	53.18	6	33771202	33789136	LEMD2	221496	2883	tsl5
ENSG00000198015	39.33	12	93467488	93516213	MRPL42	28977	15582	tsl1
ENSG00000198015	39.33	12	93467488	93516213	MRPL42	28977	920	tsl2
ENSG00000198015	39.33	12	93467488	93516213	MRPL42	28977	567	tsl4
ENSG00000198015	39.33	12	93467488	93516213	MRPL42	28977	1983	tsl3
ENSG00000198015	39.33	12	93467488	93516213	MRPL42	28977	701	tsl3
ENSG00000198015	39.33	12	93467488	93516213	MRPL42	28977	2105	tsl1
ENSG00000198015	39.33	12	93467488	93516213	MRPL42	28977	725	tsl5
ENSG00000198015	39.33	12	93467488	93516213	MRPL42	28977	775	tsl3
ENSG00000198015	39.33	12	93467488	93516213	MRPL42	28977	692	tsl2
ENSG00000198015	39.33	12	93467488	93516213	MRPL42	28977	999	tsl2
ENSG00000180353	41.45	3	121631399	121660927	HCLS1	3059	2000	tsl1
ENSG00000180353	41.45	3	121631399	121660927	HCLS1	3059	2710	tsl2
ENSG00000180353	41.45	3	121631399	121660927	HCLS1	3059	1560	tsl2
ENSG00000180353	41.45	3	121631399	121660927	HCLS1	3059	1219	tsl2
ENSG00000180353	41.45	3	121631399	121660927	HCLS1	3059	552	tsl4
ENSG00000180353	41.45	3	121631399	121660927	HCLS1	3059	1078	tsl2
ENSG00000180353	41.45	3	121631399	121660927	HCLS1	3059	1069	tsl2
ENSG00000180353	41.45	3	121631399	121660927	HCLS1	3059	533	tsl4
ENSG00000180353	41.45	3	121631399	121660927	HCLS1	3059	584	tsl4
ENSG00000180353	41.45	3	121631399	121660927	HCLS1	3059	502	tsl3
ENSG00000180353	41.45	3	121631399	121660927	HCLS1	3059	646	tsl3
ENSG00000180353	41.45	3	121631399	121660927	HCLS1	3059	450	tsl3
ENSG00000226466	44.47	10	81136540	81137335	RPA2P2		796	tslNA
ENSG00000229097	38.18	10	70163685	70164124	CALM2P2		440	tslNA
ENSG00000187812	52.55	15	75775553	75786898	AC019294.1		1184	tsl2
ENSG00000187812	52.55	15	75775553	75786898	AC019294.1		2071	tslNA
ENSG00000204267	43.88	6	32821833	32838780	TAP2	6891	2497	tsl1
ENSG00000204267	43.88	6	32821833	32838780	TAP2	6891	5684	tsl1
ENSG00000204267	43.88	6	32821833	32838780	TAP2	6891	849	tsl2
ENSG00000204267	43.88	6	32821833	32838780	TAP2	6891	274	tsl3
ENSG00000204267	43.88	6	32821833	32838780	TAP2	6891	5676	tsl5
ENSG00000149541	53.95	11	62615296	62622175	B3GAT3	26229	1641	tsl1
ENSG00000149541	53.95	11	62615296	62622175	B3GAT3	26229	2056	tsl2
ENSG00000149541	53.95	11	62615296	62622175	B3GAT3	26229	1534	tsl1
ENSG00000149541	53.95	11	62615296	62622175	B3GAT3	26229	1120	tsl2
ENSG00000149541	53.95	11	62615296	62622175	B3GAT3	26229	576	tsl2
ENSG00000149541	53.95	11	62615296	62622175	B3GAT3	26229	868	tsl5
ENSG00000105664	62.87	19	18782773	18791314	COMP	1311	2707	tsl1
ENSG00000105664	62.87	19	18782773	18791314	COMP	1311	2461	tsl1
ENSG00000105664	62.87	19	18782773	18791314	COMP	1311	2292	tsl2
ENSG00000105664	62.87	19	18782773	18791314	COMP	1311	586	tsl2
ENSG00000136381	39.42	15	78437431	78501456	IREB2	3658	558	tsl5
ENSG00000136381	39.42	15	78437431	78501456	IREB2	3658	572	tsl4
ENSG00000136381	39.42	15	78437431	78501456	IREB2	3658	6354	tsl1
ENSG00000136381	39.42	15	78437431	78501456	IREB2	3658	865	tsl5
ENSG00000136381	39.42	15	78437431	78501456	IREB2	3658	4396	tsl1
ENSG00000136381	39.42	15	78437431	78501456	IREB2	3658	2917	tsl1
ENSG00000136381	39.42	15	78437431	78501456	IREB2	3658	545	tsl5
ENSG00000136381	39.42	15	78437431	78501456	IREB2	3658	608	tsl3
ENSG00000136381	39.42	15	78437431	78501456	IREB2	3658	973	tsl5
ENSG00000136381	39.42	15	78437431	78501456	IREB2	3658	268	tsl3
ENSG00000259945	57.55	16	67542123	67542963	AC027682.2		336	tsl5
ENSG00000174292	57.99	17	7380534	7389774	TNK1	8711	3122	tsl5
ENSG00000174292	57.99	17	7380534	7389774	TNK1	8711	3023	tsl1
ENSG00000174292	57.99	17	7380534	7389774	TNK1	8711	962	tsl2
ENSG00000174292	57.99	17	7380534	7389774	TNK1	8711	555	tsl4
ENSG00000174292	57.99	17	7380534	7389774	TNK1	8711	573	tsl4
ENSG00000174292	57.99	17	7380534	7389774	TNK1	8711	463	tsl4
ENSG00000174292	57.99	17	7380534	7389774	TNK1	8711	584	tsl5
ENSG00000174292	57.99	17	7380534	7389774	TNK1	8711	253	tsl3
ENSG00000131584	67.30	1	1292376	1309609	ACAP3	116983	3896	tsl1
ENSG00000131584	67.30	1	1292376	1309609	ACAP3	116983	5319	tsl1
ENSG00000131584	67.30	1	1292376	1309609	ACAP3	116983	2725	tsl1
ENSG00000131584	67.30	1	1292376	1309609	ACAP3	116983	421	tsl3
ENSG00000131584	67.30	1	1292376	1309609	ACAP3	116983	492	tsl3
ENSG00000131584	67.30	1	1292376	1309609	ACAP3	116983	819	tsl5
ENSG00000131584	67.30	1	1292376	1309609	ACAP3	116983	326	tsl5
ENSG00000131584	67.30	1	1292376	1309609	ACAP3	116983	1946	tsl5
ENSG00000131584	67.30	1	1292376	1309609	ACAP3	116983	582	tsl5
ENSG00000131584	67.30	1	1292376	1309609	ACAP3	116983	2393	tsl3
ENSG00000131584	67.30	1	1292376	1309609	ACAP3	116983	485	tsl3
ENSG00000131584	67.30	1	1292376	1309609	ACAP3	116983	265	tsl3
ENSG00000131584	67.30	1	1292376	1309609	ACAP3	116983	2280	tsl1
ENSG00000254836	48.56	11	32052843	32053260	AL035078.3		241	tsl3
ENSG00000237457	37.76	1	190478551	190480735	LINC01351		472	tsl3
ENSG00000237457	37.76	1	190478551	190480735	LINC01351		526	tsl2
ENSG00000272128	35.14	8	38099471	38099931	AP006545.2		461	tslNA
ENSG00000235436	37.74	7	90119400	90125600	DPY19L2P4	442523	2018	tsl1
ENSG00000235436	37.74	7	90119400	90125600	DPY19L2P4	442523	442	tslNA
ENSG00000226041	50.97	2	16202430	16204226	AC010745.1		637	tsl3
ENSG00000228061	35.30	11	31637328	31767953	AC131571.1		577	tsl5
ENSG00000228061	35.30	11	31637328	31767953	AC131571.1		598	tsl4
ENSG00000228061	35.30	11	31637328	31767953	AC131571.1		454	tsl5
ENSG00000253396	47.05	8	41435298	41440419	AC016868.1	105379391	523	tsl4
ENSG00000253896	47.76	8	72601	79775	AC144568.2		944	tsl5
ENSG00000253896	47.76	8	72601	79775	AC144568.2		425	tsl1
ENSG00000079332	40.56	10	70147289	70170523	SAR1A	56681	5981	tsl2
ENSG00000079332	40.56	10	70147289	70170523	SAR1A	56681	3227	tsl2
ENSG00000079332	40.56	10	70147289	70170523	SAR1A	56681	2996	tsl1
ENSG00000079332	40.56	10	70147289	70170523	SAR1A	56681	672	tsl5
ENSG00000079332	40.56	10	70147289	70170523	SAR1A	56681	437	tsl1
ENSG00000079332	40.56	10	70147289	70170523	SAR1A	56681	529	tsl2
ENSG00000079332	40.56	10	70147289	70170523	SAR1A	56681	468	tsl3
ENSG00000079332	40.56	10	70147289	70170523	SAR1A	56681	2810	tsl1
ENSG00000213846	46.00	3	27632976	27635427	AC098614.1		745	tslNA
ENSG00000213846	46.00	3	27632976	27635427	AC098614.1		1830	tslNA
ENSG00000272236	50.62	6	29751965	29752207	AL645939.5		243	tslNA
ENSG00000261405	44.62	16	33562649	33570935	AC136944.3		554	tsl1
ENSG00000261405	44.62	16	33562649	33570935	AC136944.3		509	tslNA
ENSG00000230132	52.04	7	63480598	63480989	AC006457.1		392	tslNA
ENSG00000243417	43.20	4	152551277	152552364	AC023424.2		777	tslNA
ENSG00000271578	43.58	1	101190520	101190994	AC119501.1		475	tslNA
ENSG00000229553	31.16	Y	22049755	22058113	USP9YP17		696	tslNA
ENSG00000240669	54.25	4	152613875	152614333	AC023424.1		459	tslNA
ENSG00000280271	41.52	CHR_HSCHR19_2_CTG2	21778251	21803339	AC092364.5		471	tsl3
ENSG00000280271	41.52	CHR_HSCHR19_2_CTG2	21778251	21803339	AC092364.5		565	tsl4
ENSG00000039523	57.05	16	67518418	67546788	RIPOR1	79567	244	tsl3
ENSG00000039523	57.05	16	67518418	67546788	RIPOR1	79567	538	tsl4
ENSG00000039523	57.05	16	67518418	67546788	RIPOR1	79567	4116	tsl2
ENSG00000039523	57.05	16	67518418	67546788	RIPOR1	79567	592	tsl5
ENSG00000039523	57.05	16	67518418	67546788	RIPOR1	79567	4051	tsl5
ENSG00000039523	57.05	16	67518418	67546788	RIPOR1	79567	4260	tsl5
ENSG00000039523	57.05	16	67518418	67546788	RIPOR1	79567	634	tsl4
ENSG00000039523	57.05	16	67518418	67546788	RIPOR1	79567	3990	tsl2
ENSG00000039523	57.05	16	67518418	67546788	RIPOR1	79567	584	tsl4
ENSG00000039523	57.05	16	67518418	67546788	RIPOR1	79567	562	tsl4
ENSG00000039523	57.05	16	67518418	67546788	RIPOR1	79567	4152	tsl2
ENSG00000039523	57.05	16	67518418	67546788	RIPOR1	79567	1874	tsl2
ENSG00000039523	57.05	16	67518418	67546788	RIPOR1	79567	2251	tsl5
ENSG00000039523	57.05	16	67518418	67546788	RIPOR1	79567	929	tsl5
ENSG00000039523	57.05	16	67518418	67546788	RIPOR1	79567	714	tsl5
ENSG00000039523	57.05	16	67518418	67546788	RIPOR1	79567	754	tsl3
ENSG00000039523	57.05	16	67518418	67546788	RIPOR1	79567	418	tsl5
ENSG00000039523	57.05	16	67518418	67546788	RIPOR1	79567	3370	tsl2
ENSG00000039523	57.05	16	67518418	67546788	RIPOR1	79567	745	tsl2
ENSG00000039523	57.05	16	67518418	67546788	RIPOR1	79567	467	tsl3
ENSG00000039523	57.05	16	67518418	67546788	RIPOR1	79567	479	tsl2
ENSG00000039523	57.05	16	67518418	67546788	RIPOR1	79567	381	tsl2
ENSG00000175189	46.80	12	57434760	57450828	INHBC	3626	1992	tsl1
ENSG00000270896	58.52	6	29763258	29763392	AL645939.4		135	tslNA
ENSG00000198354	54.87	X	126163499	126166097	DCAF12L2	340578	2599	tslNA
ENSG00000164740	41.96	7	63495799	63502536	SEPT7P5		306	tslNA
ENSG00000258767	57.17	15	21382383	21382842	AC060814.3		460	tslNA
ENSG00000271943	40.69	3	27638315	27638776	AC098614.4		462	tslNA
ENSG00000279614	51.34	CHR_HSCHR19_2_CTG2	21809967	21810673	AC092364.4		707	tslNA
ENSG00000111676	55.53	12	6924463	6942321	ATN1	1822	4351	tsl1
ENSG00000111676	55.53	12	6924463	6942321	ATN1	1822	4290	tsl1
ENSG00000111676	55.53	12	6924463	6942321	ATN1	1822	855	tsl2
ENSG00000111676	55.53	12	6924463	6942321	ATN1	1822	899	tsl2
ENSG00000157214	37.44	7	90167590	90238137	STEAP2	261729	902	tsl1
ENSG00000157214	37.44	7	90167590	90238137	STEAP2	261729	6873	tsl1
ENSG00000157214	37.44	7	90167590	90238137	STEAP2	261729	2456	tsl2
ENSG00000157214	37.44	7	90167590	90238137	STEAP2	261729	6612	tsl1
ENSG00000157214	37.44	7	90167590	90238137	STEAP2	261729	2072	tsl1
ENSG00000157214	37.44	7	90167590	90238137	STEAP2	261729	579	tsl3
ENSG00000157214	37.44	7	90167590	90238137	STEAP2	261729	1372	tsl5
ENSG00000157214	37.44	7	90167590	90238137	STEAP2	261729	2261	tsl1
ENSG00000157214	37.44	7	90167590	90238137	STEAP2	261729	1918	tsl1
ENSG00000157214	37.44	7	90167590	90238137	STEAP2	261729	7033	tsl1
ENSG00000225938	60.05	1	101235683	101236528	AL109741.1		403	tsl2
ENSG00000228876	50.45	2	16224047	16229140	AC010745.2		839	tsl3
ENSG00000272398	50.84	6	106969831	106975627	CD24	100133941	2513	tsl2
ENSG00000272398	50.84	6	106969831	106975627	CD24	100133941	1026	tsl3
ENSG00000272398	50.84	6	106969831	106975627	CD24	100133941	586	tsl2
ENSG00000272398	50.84	6	106969831	106975627	CD24	100133941	566	tsl4
ENSG00000272398	50.84	6	106969831	106975627	CD24	100133941	825	tsl2
ENSG00000272398	50.84	6	106969831	106975627	CD24	100133941	802	tsl2
ENSG00000272398	50.84	6	106969831	106975627	CD24	100133941	257	tsl4
ENSG00000272398	50.84	6	106969831	106975627	CD24	100133941	2180	tsl1
ENSG00000214745	46.43	X	55961208	55962482	AL391419.1		1275	tslNA
ENSG00000254193	79.31	8	150584	150728	AC131281.2		145	tslNA
ENSG00000282086	51.72	CHR_HSCHR16_1_CTG1	14952495	14992495	PKD1P6		705	tsl3
ENSG00000282086	51.72	CHR_HSCHR16_1_CTG1	14952495	14992495	PKD1P6		3708	tslNA
ENSG00000282086	51.72	CHR_HSCHR16_1_CTG1	14952495	14992495	PKD1P6		5537	tsl2
ENSG00000282086	51.72	CHR_HSCHR16_1_CTG1	14952495	14992495	PKD1P6		764	tsl4
ENSG00000282086	51.72	CHR_HSCHR16_1_CTG1	14952495	14992495	PKD1P6		579	tsl3
ENSG00000282086	51.72	CHR_HSCHR16_1_CTG1	14952495	14992495	PKD1P6		2493	tsl1
ENSG00000227486	38.56	X	55908123	56015173	AL445472.1		1007	tsl2
ENSG00000232766	42.95	3	27703129	27703568	AC098614.3		440	tslNA
ENSG00000168778	45.70	12	123671113	123708403	TCTN2	79867	556	tsl4
ENSG00000168778	45.70	12	123671113	123708403	TCTN2	79867	2513	tsl2
ENSG00000168778	45.70	12	123671113	123708403	TCTN2	79867	2912	tsl1
ENSG00000168778	45.70	12	123671113	123708403	TCTN2	79867	2918	tsl5
ENSG00000253612	52.40	8	155274	155481	WBP1LP3		208	tslNA
ENSG00000272282	50.82	3	27712910	27714005	LINC02084		1096	tslNA
ENSG00000162882	48.95	2	42767089	42792593	HAAO	23498	760	tsl2
ENSG00000162882	48.95	2	42767089	42792593	HAAO	23498	1265	tsl1
ENSG00000162882	48.95	2	42767089	42792593	HAAO	23498	1522	tsl5
ENSG00000162882	48.95	2	42767089	42792593	HAAO	23498	651	tsl3
ENSG00000162882	48.95	2	42767089	42792593	HAAO	23498	827	tsl3
ENSG00000162882	48.95	2	42767089	42792593	HAAO	23498	1103	tsl2
ENSG00000162882	48.95	2	42767089	42792593	HAAO	23498	908	tsl2
ENSG00000236674	41.41	1	63359823	63361179	AL049636.1		1357	tslNA
ENSG00000231266	49.57	2	16227027	16228194	AC010745.3		415	tsl3
ENSG00000266338	42.75	1	144421386	144461674	NBPF15	284565	4535	tsl5
ENSG00000266338	42.75	1	144421386	144461674	NBPF15	284565	3084	tsl5
ENSG00000266338	42.75	1	144421386	144461674	NBPF15	284565	908	tsl5
ENSG00000266338	42.75	1	144421386	144461674	NBPF15	284565	709	tsl3
ENSG00000266338	42.75	1	144421386	144461674	NBPF15	284565	706	tsl3
ENSG00000266338	42.75	1	144421386	144461674	NBPF15	284565	415	tsl3
ENSG00000266338	42.75	1	144421386	144461674	NBPF15	284565	4272	tsl1
ENSG00000266338	42.75	1	144421386	144461674	NBPF15	284565	4707	tsl5
ENSG00000176269	45.63	8	166049	167043	OR4F21	441308	995	tslNA
ENSG00000197992	36.89	12	10030677	10066027	CLEC9A	283420	1734	tsl1
ENSG00000197992	36.89	12	10030677	10066027	CLEC9A	283420	1295	tsl1
ENSG00000197992	36.89	12	10030677	10066027	CLEC9A	283420	803	tsl3
ENSG00000228645	63.62	7	63509303	63510165	PHKG1P2		863	tslNA
ENSG00000255252	44.06	11	32097143	32105091	AL078612.1		150	tsl5
ENSG00000258848	63.93	15	21383821	21384064	GRAMD4P6		244	tslNA
ENSG00000171033	34.75	8	78516139	78605267	PKIA	5569	4163	tsl2
ENSG00000171033	34.75	8	78516139	78605267	PKIA	5569	1736	tsl2
ENSG00000171033	34.75	8	78516139	78605267	PKIA	5569	588	tsl1
ENSG00000255490	43.36	11	32085111	32085712	EIF4A2P5		499	tslNA
ENSG00000232444	51.09	2	16316324	16319566	AC010745.4		740	tsl5
ENSG00000255464	40.45	8	200385	200562	SEPT14P8		178	tslNA
ENSG00000136244	45.63	7	22725884	22732002	IL6	3569	1527	tsl5
ENSG00000136244	45.63	7	22725884	22732002	IL6	3569	574	tsl2
ENSG00000136244	45.63	7	22725884	22732002	IL6	3569	539	tsl2
ENSG00000136244	45.63	7	22725884	22732002	IL6	3569	985	tsl1
ENSG00000136244	45.63	7	22725884	22732002	IL6	3569	926	tsl3
ENSG00000136244	45.63	7	22725884	22732002	IL6	3569	765	tsl5
ENSG00000136244	45.63	7	22725884	22732002	IL6	3569	649	tsl2
ENSG00000136244	45.63	7	22725884	22732002	IL6	3569	582	tsl4
ENSG00000136244	45.63	7	22725884	22732002	IL6	3569	1182	tsl1
ENSG00000005073	55.22	7	27181510	27185223	HOXA11	3207	2137	tsl1
ENSG00000005073	55.22	7	27181510	27185223	HOXA11	3207	2295	tsl1
ENSG00000254627	44.74	11	32064912	32072173	AL035078.2		326	tsl3
ENSG00000253166	37.39	8	202660	202897	AC131281.1		164	tslNA
ENSG00000101337	47.45	20	32109506	32167258	TM9SF4	9777	3978	tsl1
ENSG00000101337	47.45	20	32109506	32167258	TM9SF4	9777	563	tsl4
ENSG00000101337	47.45	20	32109506	32167258	TM9SF4	9777	550	tsl4
ENSG00000101337	47.45	20	32109506	32167258	TM9SF4	9777	4032	tsl2
ENSG00000101337	47.45	20	32109506	32167258	TM9SF4	9777	553	tsl4
ENSG00000101337	47.45	20	32109506	32167258	TM9SF4	9777	3023	tsl2
